Education,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Property_Area,Loan_Status,Gender_Male,Married_Yes,Dependents_1.0,Dependents_2.0,Dependents_3.0,Self_Employed_Yes,Credit_History_1.0
Graduate,5849,0.0,128.0,360.0,Urban,Y,True,False,False,False,False,False,True
Graduate,4583,1508.0,66.0,360.0,Rural,N,True,True,True,False,False,False,True
Graduate,3000,0.0,120.0,360.0,Urban,Y,True,True,False,False,False,True,True
Not Graduate,2583,2358.0,141.0,360.0,Urban,Y,True,True,False,False,False,False,True
Graduate,6000,0.0,267.0,360.0,Urban,Y,True,False,False,False,False,False,True
Graduate,5417,4196.0,95.0,360.0,Urban,Y,True,True,False,True,False,True,True
Not Graduate,2333,1516.0,158.0,360.0,Urban,Y,True,True,False,False,False,False,True
Graduate,3036,2504.0,168.0,360.0,Semiurban,N,True,True,False,False,True,False,False
Graduate,4006,1526.0,349.0,360.0,Urban,Y,True,True,False,True,False,False,True
Graduate,12841,10968.0,70.0,360.0,Semiurban,N,True,True,True,False,False,False,True
Graduate,3200,700.0,109.0,360.0,Urban,Y,True,True,False,True,False,False,True
Graduate,2500,1840.0,200.0,360.0,Urban,Y,True,True,False,True,False,False,True
Graduate,3073,8106.0,114.0,360.0,Urban,Y,True,True,False,True,False,False,True
Graduate,1853,2840.0,17.0,360.0,Rural,N,True,False,False,False,False,False,True
Graduate,1299,1086.0,125.0,120.0,Urban,Y,True,True,False,True,False,False,True
Graduate,4950,0.0,100.0,360.0,Urban,Y,True,False,False,False,False,False,True
Not Graduate,3596,0.0,76.0,240.0,Urban,Y,True,False,True,False,False,False,False
Graduate,3510,0.0,133.0,360.0,Urban,N,False,False,False,False,False,False,True
Not Graduate,4887,0.0,115.0,360.0,Rural,N,True,True,False,False,False,False,True
Graduate,2600,3500.0,104.0,360.0,Urban,Y,True,True,False,False,False,False,False
Not Graduate,7660,0.0,315.0,360.0,Urban,N,True,True,False,False,False,False,True
Graduate,5955,5625.0,116.0,360.0,Urban,Y,True,True,True,False,False,False,False
Not Graduate,2600,1911.0,112.0,360.0,Semiurban,N,True,True,False,False,False,True,False
Not Graduate,3365,1917.0,151.0,360.0,Rural,N,True,True,False,True,False,False,True
Graduate,3717,2925.0,191.0,360.0,Semiurban,N,True,True,True,False,False,False,True
Graduate,9560,0.0,122.0,360.0,Semiurban,Y,True,True,False,False,False,False,True
Graduate,2799,2253.0,110.0,360.0,Semiurban,Y,True,True,False,False,False,False,True
Not Graduate,4226,1040.0,35.0,360.0,Urban,Y,True,True,False,True,False,True,True
Not Graduate,1442,0.0,120.0,360.0,Urban,N,False,False,False,False,False,False,True
Graduate,3750,2083.0,201.0,360.0,Semiurban,Y,True,False,False,True,False,False,True
Graduate,4166,3369.0,74.0,360.0,Urban,N,True,True,True,False,False,False,True
Graduate,3167,0.0,106.0,360.0,Urban,N,True,False,False,False,False,False,True
